factor,category,icir,ic_mean,ic_pos_rate,oos_ic,oos_decay,sector_cons,is_macro
usdjpy_cs_z,其他,0.9953,0.0662,0.001,0.0182,-1.6368,0.8889,False
audusd_cs_z,其他,0.6311,0.0503,0.0034,0.013,-0.3705,0.5556,False
