factor,ICIR
f_g_hurst_strength_div_pv_skew_ma5,-0.09805372103671413
f_g_hurst_strength_x_pv_wad,0.09047476217491925
f_g_hurst_strength_div_pv_wad,-0.029874572524594994
f_g_hurst_strength_x_v_skew_ma5,-0.04641113849893923
f_g_hurst_strength_div_v_skew_ma5,-0.09922516150983919
f_g_hurst_strength_x_vol_wsr,-0.05685082756677918
f_g_hurst_strength_div_vol_wsr,-0.11349242232591121
f_g_hurst_strength_x_wad,0.0932153961074222
f_g_hurst_strength_div_wad,0.008966055532259572
f_g_hurst_strength_x_wad_valid,0.04183395726647977
f_g_hurst_strength_div_wad_valid,0.1056096559593868
f_g_hurst_strength_x_f_oi_hurst_20,-0.005393134908793119
f_g_hurst_strength_div_f_oi_hurst_20,-0.024166038311201
f_g_hurst_strength_x_f_oi_hurst_20_ts_z,-0.0018351535151710672
f_g_hurst_strength_div_f_oi_hurst_20_ts_z,-0.008446881726965066
f_g_hurst_value_x_hurst_value,-0.08567216550470709
f_g_hurst_value_div_hurst_value,0.029172967918365277
f_g_hurst_value_x_kc_width,-0.09023143075763179
f_g_hurst_value_div_kc_width,-0.04309505516474388
f_g_hurst_value_x_ma5,-0.062438275502522296
f_g_hurst_value_div_ma5,0.06415339409405722
f_g_hurst_value_x_mfi_index,0.015561626026720298
f_g_hurst_value_div_mfi_index,0.006535541751393246
f_g_hurst_value_x_oi_chg,-0.012903001358242343
f_g_hurst_value_div_oi_chg,0.018156844966191948
f_g_hurst_value_x_pv_oi_diff,-0.012919516460792119
f_g_hurst_value_div_pv_oi_diff,0.017742410660571976
f_g_hurst_value_x_pv_oi_efficiency,-0.023115936678066606
f_g_hurst_value_div_pv_oi_efficiency,0.05082569853311505
f_g_hurst_value_x_pv_oi_momentum,-0.011419436554460467
f_g_hurst_value_div_pv_oi_momentum,0.02657953373316385
f_g_hurst_value_x_pv_oi_vol_ratio,0.04374489494934728
f_g_hurst_value_div_pv_oi_vol_ratio,-0.008387533604994155
f_g_hurst_value_x_pv_skew_ma5,0.048685247312133556
f_g_hurst_value_div_pv_skew_ma5,0.10497449634241449
f_g_hurst_value_x_pv_wad,-0.11616212888230634
f_g_hurst_value_div_pv_wad,-0.016751276099143165
f_g_hurst_value_x_v_skew_ma5,0.049441748444762595
f_g_hurst_value_div_v_skew_ma5,0.10648790450133384
f_g_hurst_value_x_vol_wsr,0.06729785858033883
f_g_hurst_value_div_vol_wsr,0.09822882861450791
f_g_hurst_value_x_wad,-0.1106954726300862
f_g_hurst_value_div_wad,0.005746233563389117
f_g_hurst_value_x_wad_valid,-0.06632804910749598
f_g_hurst_value_div_wad_valid,-0.09811763175311505
f_g_hurst_value_x_f_oi_hurst_20,-0.004981369752421343
f_g_hurst_value_div_f_oi_hurst_20,-0.011386174455231329
f_g_hurst_value_x_f_oi_hurst_20_ts_z,-0.004319054036334988
f_g_hurst_value_div_f_oi_hurst_20_ts_z,-0.04075677890517142
f_g_kc_width_x_kc_width,0.005471549251873786
f_g_kc_width_div_kc_width,-0.009760528170030109
f_g_kc_width_x_ma5,-0.05130758950059672
f_g_kc_width_div_ma5,-0.00022082959638253369
f_g_kc_width_x_mfi_index,0.04447389978321523
f_g_kc_width_div_mfi_index,0.022855066607458657
f_g_kc_width_x_oi_chg,-0.0036998381019986036
f_g_kc_width_div_oi_chg,-0.007980430699797076
f_g_kc_width_x_pv_oi_diff,-0.0037012113269260893
f_g_kc_width_div_pv_oi_diff,-0.0068385096748215385
f_g_kc_width_x_pv_oi_efficiency,0.021726291987916025
f_g_kc_width_div_pv_oi_efficiency,0.05575619520549987
f_g_kc_width_x_pv_oi_momentum,0.022950444680180558
f_g_kc_width_div_pv_oi_momentum,-0.007878961001513776
f_g_kc_width_x_pv_oi_vol_ratio,-0.03961939488084855
f_g_kc_width_div_pv_oi_vol_ratio,0.006473786121730524
f_g_kc_width_x_pv_skew_ma5,0.0002360270854646915
f_g_kc_width_div_pv_skew_ma5,0.018138234784240415
f_g_kc_width_x_pv_wad,-0.027226153075598017
f_g_kc_width_div_pv_wad,0.010502881772859712
f_g_kc_width_x_v_skew_ma5,-0.0008821175786670096
f_g_kc_width_div_v_skew_ma5,0.018605414478022997
f_g_kc_width_x_vol_wsr,0.030219063945947356
f_g_kc_width_div_vol_wsr,0.037471459214790934
f_g_kc_width_x_wad,-0.027146145622483926
f_g_kc_width_div_wad,-0.013958729368398507
f_g_kc_width_x_wad_valid,-0.006131327929257464
f_g_kc_width_div_wad_valid,0.003940401277056162
f_g_kc_width_x_f_oi_hurst_20,-0.08331859081436253
f_g_kc_width_div_f_oi_hurst_20,0.003727916451753181
f_g_kc_width_x_f_oi_hurst_20_ts_z,-0.09416575130766992
f_g_kc_width_div_f_oi_hurst_20_ts_z,-0.003964849316900558
f_g_ma5_x_ma5,0.04537940666536325
f_g_ma5_div_ma5,0.06572529946788797
f_g_ma5_x_mfi_index,-0.0065901648973890285
f_g_ma5_div_mfi_index,-0.024053802802213885
f_g_ma5_x_oi_chg,-0.004441438772623842
f_g_ma5_div_oi_chg,-0.037569979569133855
f_g_ma5_x_pv_oi_diff,-0.004440187757405876
f_g_ma5_div_pv_oi_diff,-0.03755106046479367
f_g_ma5_x_pv_oi_efficiency,0.06372638994564887
f_g_ma5_div_pv_oi_efficiency,0.009124641263641878
f_g_ma5_x_pv_oi_momentum,-0.00818253583898749
f_g_ma5_div_pv_oi_momentum,-0.0018172358060099146
f_g_ma5_x_pv_oi_vol_ratio,-0.015361180962291042
f_g_ma5_div_pv_oi_vol_ratio,-0.004357378267950498
f_g_ma5_x_pv_skew_ma5,-0.039900132258141326
f_g_ma5_div_pv_skew_ma5,-0.01995285921054113
f_g_ma5_x_pv_wad,0.0007959102024849546
