factor,ICIR,positive_ic_ratio,is_timeseries,stability_score
f_g_hurst_value_rank_x_pv_wad_rank,-0.15246431116070247,0.42923794712286156,False,0.06544346793212112
f_g_mfi_index_rank_x_hurst_strength_rank,0.10742434288407236,0.550025920165889,False,0.05908617304302787
f_g_hurst_value_rank_x_ma10_rank,-0.1317262543178787,0.44738206324520474,False,0.05893196344029514
f_g_hurst_value_rank_x_kc_squeeze_rank,-0.12666068587835583,0.45152928978745466,False,0.05719100953864589
f_g_hurst_strength_rank_x_vol_wsr_rank,0.1034614655022361,0.5406946604458268,False,0.055941061958959176
f_g_hurst_strength_rank_x_kc_breakout_rank,0.09765566931764218,0.5401762571280456,False,0.052751273939338074
f_g_pv_wad_rank_x_kc_squeeze_rank,-0.11639163141233266,0.450419338924519,False,0.05242504167708916
f_g_hurst_strength_rank_x_pv_oi_efficiency_rank,0.09422957664028535,0.5438050803525143,False,0.05124252249645378
f_g_wti_rank_x_hurst_strength_rank,0.09238653062108326,0.5489891135303266,False,0.05071919954781088
f_g_kc_breakout_rank_x_pv_oi_efficiency_rank,0.09166657762887931,0.5452298566485417,False,0.04997935498005629
f_g_wti_rank_x_pv_oi_efficiency_rank,0.09162278735663587,0.5388037567968363,False,0.049366702035953086
f_g_mfi_index_rank_x_pv_oi_efficiency_rank,0.08947265232518241,0.535483870967742,False,0.047911162212839614
f_g_wti_rank_x_hurst_value_rank,-0.09897518935265519,0.45204769310523585,False,0.04474150602152168
f_g_wti_rank_x_ma10_rank,-0.0937326838268592,0.47003467062902426,False,0.04405761116973224
f_g_ma10_rank_x_kc_squeeze_rank,-0.08621443055798117,0.46904408122833086,False,0.04043836836969201
f_g_pv_wad_rank_x_ma10_rank,-0.0846937499770729,0.46656760772659733,False,0.039515360316197456
f_g_wti_rank_x_pv_wad_rank,-0.07774892069409535,0.47755303404045385,False,0.03712923297083586
f_g_env_weight_rank_x_pv_wad_rank,-0.0788189768149387,0.4570037858301785,False,0.03602057079968805
f_g_env_weight_rank_x_hurst_value_rank,-0.07712719378670736,0.46187128177393183,False,0.03562283585389296
f_化工_wti_rank_x_hurst_strength_rank,0.1326761800978412,0.546572934973638,False,0.07251720915716806
f_化工_env_weight_rank_x_hurst_strength_rank,0.11248241054893911,0.5494775660725261,False,0.06180656117440169
f_化工_hurst_value_vol_norm,-0.12625145192080522,0.45987111892208554,False,0.058059396460358584
f_有色_t_days_from_month_start_raw_x_volnorm,-0.12768848671227104,0.4227467811158798,False,0.05397989674317037
f_农产品_env_weight_rank_x_kc_breakout_rank,-0.11370928669021779,0.4705246078961601,False,0.05350301753406678
f_化工_wti_rank_x_hurst_value_rank,-0.11654584731477594,0.45869947275922673,False,0.05345951871556506
f_化工_t_days_from_month_start_raw_x_volnorm,0.09567395155711847,0.5466666666666666,False,0.052301760184558094
f_农产品_hurst_value_raw_x_volnorm,-0.1163715862328348,0.4480789200415369,False,0.052143654682729204
f_化工_mfi_index_raw_x_volnorm,0.09239609875872402,0.5415504740658115,False,0.05003715108461853
f_农产品_env_weight_rank_x_ma10_rank,-0.10687335656818076,0.4564629529475392,False,0.04878372793052707
f_化工_t_days_to_month_end_raw_x_volnorm,-0.10361630022532237,0.46808510638297873,False,0.04850124691398068
f_有色_t_trading_week_bucket_raw_x_volnorm,-0.10370058312629497,0.4467005076142132,False,0.046323103122405875
f_农产品_wti_rank_x_pv_oi_efficiency_rank,0.08645775961319549,0.5348492338111716,False,0.04624186648614806
f_化工_env_weight_rank_x_hurst_value_rank,-0.09755847058427138,0.4665027658266749,False,0.0455112963573829
f_有色_t_is_roll_window_vol_norm,0.08508145896713404,0.5238095238095238,False,0.04456647850659402
f_黑色_wti_rank_x_kc_breakout_rank,-0.08745330848173428,0.46454545454545454,False,0.04062603694015111
f_农产品_wti_rank_x_ma10_rank,-0.08749726404515501,0.4596334819217434,False,0.04021667213170076
f_农产品_wti_rank_x_kc_breakout_rank,-0.09270104216191284,0.42896935933147634,False,0.039765906665555927
f_农产品_env_weight_vol_norm,-0.08409876535123142,0.4719956498096792,False,0.03969425140014621
