factor,ICIR,positive_ic_ratio,is_timeseries,stability_score
f_g_wti_x_wti,,,False,
f_g_wti_cube,,,False,
f_g_wti_x_t_season_winter,,,False,
f_g_wti_div_t_season_winter,,,False,
f_g_wti_logx_t_season_winter,,,False,
f_g_wti_x_dxy,,,False,
f_g_wti_div_dxy,,,False,
f_g_wti_x_t_is_pre_cny,,,False,
f_g_t_season_winter_sq,,,False,
f_g_wti_rank_x_wti_rank,,,False,
f_g_wti_rank_x_t_trading_days_to_month_end_rank,,,False,
f_g_wti_rank_x_t_trading_week_bucket_rank,0.03720416862022907,0.5340314136125655,False,0.01986819476054118
f_g_wti_rank_x_env_weight_rank,-0.02957306712840706,0.4748512709572742,False,0.01404280851202888
f_g_wti_rank_x_mfi_index_rank,0.057221174512241874,0.5464019851116625,False,0.031265763343909826
f_g_wti_rank_x_hurst_value_rank,-0.09897518935265519,0.45204769310523585,False,0.04474150602152168
f_g_wti_rank_x_pv_wad_rank,-0.07774892069409535,0.47755303404045385,False,0.03712923297083586
f_g_wti_rank_x_ma10_rank,-0.0937326838268592,0.47003467062902426,False,0.04405761116973224
f_g_wti_rank_x_hurst_strength_rank,0.09238653062108326,0.5489891135303266,False,0.05071919954781088
f_g_wti_rank_x_kc_breakout_rank,0.0204815786055354,0.4992374173868836,False,0.010225170407033942
f_g_wti_rank_x_pv_oi_efficiency_rank,0.09162278735663587,0.5388037567968363,False,0.049366702035953086
f_g_wti_rank_x_kc_squeeze_rank,-0.04261817819009825,0.46871628910463864,False,0.019975834329663097
f_g_wti_rank_x_vol_wsr_rank,0.07182134612593172,0.5424063116370809,False,0.03895635144897677
f_g_t_trading_week_bucket_rank_x_t_trading_week_bucket_rank,0.037340257648832684,0.5340314136125655,False,0.01994087057686353
f_g_env_weight_rank_x_mfi_index_rank,-0.008206145517254314,0.505137912385073,False,0.0041452352153139695
f_g_env_weight_rank_x_hurst_value_rank,-0.07712719378670736,0.46187128177393183,False,0.03562283585389296
f_g_env_weight_rank_x_pv_wad_rank,-0.0788189768149387,0.4570037858301785,False,0.03602057079968805
f_g_env_weight_rank_x_ma10_rank,-0.06781772679588145,0.46998377501352084,False,0.03187323125236397
f_g_env_weight_rank_x_hurst_strength_rank,0.023505760340057472,0.505137912385073,False,0.011873650707200475
f_g_env_weight_rank_x_kc_breakout_rank,-0.017246152025562886,0.4959437533802055,False,0.008553121366923292
f_g_env_weight_rank_x_pv_oi_efficiency_rank,0.008448295061942715,0.4926987560843699,False,0.0041624644680529005
f_g_env_weight_rank_x_kc_squeeze_rank,-0.06373104090346385,0.46349378042184963,False,0.02953894107856599
f_g_env_weight_rank_x_vol_wsr_rank,0.017639458647557435,0.4964845862628448,False,0.008757719328533113
f_g_mfi_index_rank_x_hurst_value_rank,-0.03569144185381716,0.4815966822187662,False,0.017188879980402354
f_g_mfi_index_rank_x_pv_wad_rank,0.012601833486232837,0.5146401985111663,False,0.0064854100869595295
f_g_mfi_index_rank_x_ma10_rank,-0.010557671484083361,0.4858560794044665,False,0.005129508874897077
f_g_mfi_index_rank_x_hurst_strength_rank,0.10742434288407236,0.550025920165889,False,0.05908617304302787
f_g_mfi_index_rank_x_kc_breakout_rank,0.04979064335029409,0.5275434243176179,False,0.026266726491991375
f_g_mfi_index_rank_x_pv_oi_efficiency_rank,0.08947265232518241,0.535483870967742,False,0.047911162212839614
